city_name,seismic_level,risk_percent
Antofagasta,5,
Calama,5,
Copiapó,5,
Coyhaique,5,
Curanilahue,5,
Curicó,5,
La Serena,5,
La Serena,5,
La Serena,5,
Lota,5,
Ovalle,5,
Puerto Montt,5,
Punta Arenas,5,
Quilpué,5,
Rancagua,5,
Vallenar,5,
Valparaíso,5,
Arica,5,99.22
Arica,5,99.17
Vallenar,5,99.15
Melipilla,5,98.99
Quillota,5,98.89
Iquique,5,98.84
San Antonio,5,98.79
Coyhaique,5,98.77
Ovalle,5,98.09
Curicó,5,97.91
Lota,5,97.74
Angol,5,97.73
La Serena,5,96.10
Temuco,5,95.55
San Antonio,5,94.85
San Antonio,5,94.76
Melipilla,5,94.18
Penco,5,91.72
Penco,5,91.45
Villa Alemana,5,90.73
Linares,5,90.25
Calama,5,89.12
Curanilahue,5,89.02
Quillota,5,89.01
Curicó,5,88.44
Linares,5,88.12
Los Ángeles,5,88.00
Calama,5,87.97
Lota,5,87.76
Penco,5,86.35
Angol,5,86.00
Antofagasta,5,86.00
Curicó,5,86.00
Rancagua,5,85.86
Linares,5,84.87
Puerto Montt,5,84.43
Peñaflor,5,84.03
Melipilla,5,82.61
Coronel,5,81.76
Lota,5,81.41
Antofagasta,5,79.96
San Antonio,5,79.92
San Fernando,5,78.96
Vallenar,5,76.93
Quilpué,5,75.58
Copiapó,5,75.33
San Fernando,5,75.21
Antofagasta,5,75.12
Punta Arenas,5,74.18
Valdivia,5,73.96
Copiapó,5,72.88
Concepción,5,71.39
Curanilahue,5,70.53
Villa Alemana,5,69.62
Concepción,5,69.61
Colina,5,69.60
Curanilahue,5,69.43
Vallenar,5,69.39
Rancagua,5,68.25
Curanilahue,5,68.07
Chillán,5,67.85
Melipilla,5,66.73
Villa Alemana,5,66.64
Angol,5,66.19
Angol,5,66.06
San Fernando,5,65.81
Arica,5,65.28
Peñaflor,5,64.09
Villa Alemana,5,64.01
Calama,5,63.61
Penco,5,63.16
Los Ángeles,5,62.49
Osorno,5,61.86
Arica,5,61.02
Villa Alemana,5,60.56
Quillota,5,60.54
Talca,5,60.45
Copiapó,5,60.40
Temuco,5,60.31
Curicó,5,60.20
Lota,5,59.41
Penco,5,57.40
Ovalle,5,56.33
Ovalle,5,55.02
Talcahuano,5,54.91
Arica,5,54.84
Calama,5,53.44
Colina,5,52.61
Colina,5,51.98
Lota,5,51.07
San Fernando,5,50.51
Antofagasta,5,50.42
Santiago,5,50.36
La Serena,5,50.14
Valdivia,5,50.03
La Serena,5,49.74
Colina,5,49.60
Coyhaique,5,49.25
Antofagasta,5,48.41
Penco,5,48.17
Santiago,5,47.71
Talca,5,47.39
Curanilahue,5,47.11
Lota,5,46.83
San Antonio,5,46.78
Valparaíso,5,46.55
San Fernando,5,46.42
Linares,5,45.61
San Antonio,5,45.01
Lota,5,44.81
San Fernando,5,43.69
Iquique,5,43.53
Melipilla,5,41.71
Arica,5,40.86
Coronel,5,39.26
La Serena,5,38.81
Chillán,5,37.86
Lota,5,37.16
Vallenar,5,37.01
Curicó,5,36.91
Talca,5,35.50
Curicó,5,35.47
Curicó,5,35.07
San Fernando,5,35.07
Linares,5,32.34
Temuco,5,32.30
Punta Arenas,5,32.21
Osorno,5,31.86
Chillán,5,31.77
Curanilahue,5,31.68
Quillota,5,30.99
Temuco,5,30.91
Ovalle,5,30.40
Coronel,5,29.30
Valdivia,5,29.18
Chillán,5,29.03
Copiapó,5,28.18
Angol,5,27.93
Santiago,5,27.66
Angol,5,27.56
Iquique,5,26.68
Quilpué,5,26.54
Rancagua,5,26.16
Curicó,5,25.52
Arica,5,25.35
Temuco,5,24.97
Talca,5,24.77
Antofagasta,5,23.48
Coyhaique,5,23.26
Punta Arenas,5,22.79
San Fernando,5,22.77
Iquique,5,22.76
Chillán,5,22.63
Concepción,5,22.43
Ovalle,5,22.43
Curanilahue,5,19.40
Antofagasta,5,19.06
Melipilla,5,19.01
